,USD_ROI,BAT_ROI,BTC_ROI,TRADE_ROI
2021-07-11,486.6172,393.5687,366.57376100000005,342.573347316427
2021-07-12,486.6172,385.0994,354.07477,342.573347316427
2021-07-13,486.6172,375.5213,350.25529800000004,334.0529451087594
2021-07-14,486.6172,371.47040000000004,351.135373,330.4493810090903
2021-07-15,486.6172,354.6116,340.99487600000003,315.45227753986086
2021-07-16,486.6172,384.8411,335.85224200000005,342.3435710674589
2021-07-17,486.6172,374.0499,337.412837,332.7440299994619
2021-07-18,486.6172,365.9747,340.13427500000006,332.7440299994619
2021-07-19,486.6172,345.9337,330.009721,332.7440299994619
2021-07-20,486.6172,326.991,318.818912,314.5235723306346
2021-07-21,486.6172,350.5404,343.846533,337.1750869418717
2021-07-22,486.6172,358.7612,345.47881800000005,337.1750869418717
2021-07-23,486.6172,367.50629999999995,360.0256820000001,337.1750869418717
2021-07-24,486.6172,376.4348,366.8282070000001,337.1750869418717
2021-07-25,486.6172,378.9345,379.08238200000005,337.1750869418717
2021-07-26,486.6172,384.8285,398.711639,337.1750869418717
2021-07-27,486.6172,399.64750000000004,422.33413600000006,337.1750869418717
2021-07-28,486.6172,398.6948,428.37557000000004,337.1750869418717
2021-07-29,486.6172,416.01770000000005,428.42200800000006,337.1750869418717
2021-07-30,486.6172,429.49129999999997,451.94606500000003,337.1750869418717
2021-07-31,486.6172,456.12559999999996,443.9966070000001,337.1750869418717
2021-08-01,552.6181,528.0072,494.3310840000001,402.3358869418717
2021-08-02,552.6181,524.5648,485.454916,402.3358869418717
2021-08-03,552.6181,511.80240000000003,473.5738560000001,402.3358869418717
2021-08-04,552.6181,535.2976,492.5578840000001,402.3358869418717
2021-08-05,552.6181,541.7512,507.02037600000006,402.3358869418717
2021-08-06,552.6181,555.8072,531.582792,402.3358869418717
2021-08-07,552.6181,575.0712,553.503016,402.3358869418717
2021-08-08,552.6181,539.88,543.481336,402.3358869418717
2021-08-09,552.6181,561.7887999999999,573.9399520000001,418.6630271949503
2021-08-10,552.6181,576.74,565.3861840000001,418.6630271949503
2021-08-11,552.6181,596.3016,564.863276,418.6630271949503
2021-08-12,552.6181,570.9896,550.8345360000001,418.6630271949503
2021-08-13,552.6181,631.2816,593.137136,462.8705420702439
2021-08-14,552.6181,623.4896,584.15966,462.8705420702439
2021-08-15,552.6181,649.6351999999999,582.979676,462.8705420702439
2021-08-16,552.6181,631.2544,569.190504,462.8705420702439
2021-08-17,552.6181,592.8552,553.9275920000001,434.7141307738415
2021-08-18,552.6181,575.3543999999999,554.3789520000001,421.8815789806771
2021-08-19,552.6181,605.024,579.8967880000001,443.63696608769334
2021-08-20,552.6181,625.4992,611.84576,458.6505120099026
2021-08-21,552.6181,623.9512000000001,605.951048,458.6505120099026
2021-08-22,552.6181,693.1608,611.129412,509.5247125499457
2021-08-23,552.6181,715.9200000000001,613.8806000000001,509.5247125499457
2021-08-24,552.6181,657.0848,591.26238,509.5247125499457
2021-08-25,552.6181,689.0863999999999,607.442892,534.339783665787
2021-08-26,552.6181,636.168,580.9582280000001,493.3051522930889
2021-08-27,552.6181,675.6888,608.561868,523.9508532128848
2021-08-28,552.6181,654.08,606.892456,523.9508532128848
2021-08-29,552.6181,650.9976,605.1519920000001,521.481696366714
2021-08-30,552.6181,634.9424,582.7220040000001,508.6206767077984
2021-08-31,552.6181,652.8808,584.195,522.9902339259888
2021-09-01,638.9673,777.1428000000001,693.526012,639.7094863778135
2021-09-02,638.9673,765.4050000000001,699.767054,639.7094863778135
2021-09-03,638.9673,791.4717,710.355,639.7094863778135
2021-09-04,638.9673,829.7514,709.190316,639.7094863778135
2021-09-05,638.9673,883.9926,735.406214,639.7094863778135
2021-09-06,638.9673,859.5405000000001,748.3231020000001,639.7094863778135
2021-09-07,638.9673,702.5382,665.9019000000001,639.7094863778135
2021-09-08,638.9673,691.7166,654.0571120000001,629.8556731932974
2021-09-09,638.9673,729.2583,658.88,664.0399803594415
2021-09-10,638.9673,689.4414,636.89059,627.7839466688084
2021-09-11,638.9673,700.4934,641.4399860000001,637.8475549444119
2021-09-12,638.9673,724.0374,653.544066,659.2859908149159
2021-09-13,638.9673,677.6424000000001,638.2576240000001,617.0401433713197
2021-09-14,638.9673,701.7696,669.2065240000001,639.0096230661387
2021-09-15,638.9673,712.9971,683.7033040000001,649.2330361962815
2021-09-16,638.9673,698.4234,678.0948720000001,649.2330361962815
2021-09-17,638.9673,674.6030999999999,671.7097,627.0904136952223
2021-09-18,638.9673,678.1392000000001,686.066752,630.3774641280883
2021-09-19,638.9673,664.9191,671.0340640000001,618.0884634133091
2021-09-20,638.9673,585.7803,610.784174,544.5234548455402
2021-09-21,638.9673,551.1878999999999,578.2183200000001,512.3674175745721
2021-09-22,638.9673,616.7466000000001,618.76642,573.3087804356693
2021-09-23,638.9673,631.9188,637.545778,573.3087804356693
2021-09-24,638.9673,588.4947,608.454664,533.9122348470327
2021-09-25,638.9673,579.3795,606.4182420000001,525.6424631684132
2021-09-26,638.9673,574.5114,613.127884,521.2258759834159
2021-09-27,638.9673,551.4417,598.8389920000001,500.29587426164915
2021-09-28,638.9673,525.33,582.570194,476.60601587778393
2021-09-29,638.9673,535.0239,589.614672,485.4008135427139
2021-09-30,638.9673,568.8594,622.306906,485.4008135427139
2021-10-01,706.9499000000001,679.826,751.3858560000001,548.6074135427139
2021-10-02,706.9499000000001,709.204,743.4599640000001,548.6074135427139
2021-10-03,706.9499000000001,728.9449999999999,752.450244,548.6074135427139
2021-10-04,706.9499000000001,705.105,768.2304240000001,548.6074135427139
2021-10-05,706.9499000000001,740.803,803.306244,576.3822661514002
2021-10-06,706.9499000000001,736.5129999999999,863.2958880000001,573.0444288022136
2021-10-07,706.9499000000001,730.488,839.245992,573.0444288022136
2021-10-08,706.9499000000001,747.423,841.835592,573.0444288022136
2021-10-09,706.9499000000001,758.6460000000001,857.411724,581.649031048127
2021-10-10,706.9499000000001,722.817,853.172268,581.649031048127
2021-10-11,706.9499000000001,705.383,896.804064,567.6199348767681
2021-10-12,706.9499000000001,695.7950000000001,873.67956,559.9044952707691
2021-10-13,706.9499000000001,705.585,894.930192,567.7824837712625
2021-10-14,706.9499000000001,702.637,894.8083560000001,565.4102355486419
2021-10-15,706.9499000000001,692.02,962.4480840000001,556.8667622177187
2021-10-16,706.9499000000001,716.247,949.687752,576.362168489573
2021-10-17,706.9499000000001,692.095,959.8229160000001,576.362168489573
2021-10-18,706.9499000000001,680.012,967.8615960000001,566.2997000685332
2021-10-19,706.9499000000001,680.621,1003.1289840000001,566.8068624676406
2021-10-20,706.9499000000001,709.584,1030.014024,590.9266400790428
2021-10-21,706.9499000000001,691.543,970.382712,590.9266400790428
2021-10-22,706.9499000000001,697.553,946.7271840000001,596.0622124250503
2021-10-23,706.9499000000001,711.86,956.2801560000001,608.2876090231084
2021-10-24,706.9499000000001,689.3820000000001,949.3298880000001,589.0800557463104
